Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
El Salvador	El Salvador Santa Rita Full Natural	8.5	8.7	8.5	8.7	9.4	8.8	6.5	5.5	8	8	7	87.6
El Salvador	El Salvador Los Luchadores Pacamara	8.4	8	7.5	9.2	8.8	8.8	8	7	8.5	8	6	88.2
El Salvador	El Salvador Finca Kilimanjaro 2008	8.5	8.5	9.3	9	7.5	9	9	8	7	8	8	91.8
El Salvador	El Salvador Peaberry "Aida's Grand Reserve" 2008	9	9.2	8.7	9.6	9	9.4	8.5	7.5	9	8.5	5	93.4
El Salvador	El Salvador - Orange Bourbon Cultivar	8.5	8.7	8	8.6	8.8	8.5	9	8	6	8	5	87.1
El Salvador	El Salvador Cup of Excellence - Finca Malacara	8.2	8.5	9	9	8.5	8.8	9	9	6	8.8	5	89.8
El Salvador	El Salvador Finca Mauritania	8.5	8.5	8.4	8.8	8	8.7	8	9	6	9	5	87.9
El Salvador	El Salvador - Yellow Bourbon Cultivar	8.5	8.7	8.6	8.7	7.5	8.8	8.5	8	7	8	5	87.3
Ethiopia	Ethiopia DP Sidama Aleta Wondo	8.9	9	7.5	9.2	9	8.8	8.7	7	9	6.5	7	90.6
Ethiopia	Ethiopia Limu Borka Gudina	8.3	8.5	8.3	8.6	9	8.5	8	9	7.5	8	4	87.7
Ethiopia	Ethiopia Harar Longberry	8.8	8.8	8.4	8.5	8.5	8.4	8	7	8.5	7	5	86.9
Ethiopia	Ethiopia Yirga Cheffe Dumerso Cooperative	8.7	8.9	8.7	8.9	8.7	8.8	8.5	8	8.5	7.8	4	89.5
Ethiopia	Ethiopia Dry Process Bench Maji Biftu	8.6	8.7	8.6	9.3	8.5	9.4	8.5	6.8	8.5	7	5	88.9
Ethiopia	Ethiopia Moplaco Yirga Cheffe	8.8	8.8	8.9	9	8.5	8.9	9	9	8.3	8	4	91.2
Ethiopia	Ethiopia Organic Guji Suke Quto	9.1	9.2	8.9	9.5	7.5	9.3	8	8.5	8.5	8	5	91.5
Ethiopia	Ethiopia Gr. 3 Dry Process Yirga Cheffe	9.4	8.2	8.6	9.3	8.5	9.4	8.5	6.8	8.5	7	5	90.2
Ethiopia	Ethiopia Harar Longberry	8.7	8.8	8.3	8.8	8.6	8.3	7.8	6.8	8.5	7.5	5	87.1
Ethiopia	Ethiopia Yirga Cheffe	8.9	8.8	8.9	9	7	8.8	8.5	8.5	7.5	8	5	88.9
Ethiopia	Ethiopia Wet-Process Jimma -Duromina Coop	9	8.8	8.8	9	8	9	9.2	9.4	8	8	3	90.2
Ethiopia	Ethiopia Wet Process Wollega Leka Wato	8.8	8.7	9.2	9.5	8.5	9.2	9.8	9	7.8	8.5	4	93
Ethiopia	Ethiopia Sidama Bonko	9	8.8	9.2	9.2	8	9	9	8.5	8	8	5	91.7
Ethiopia	Ethiopia Sidama WP Decaf	8	8.4	8.5	8.3	8.7	8.6	8	8	6.5	7.5	6	86.5
Ethiopia	Ethiopia FTO Sidama -Shilcho Cooperative	9	8.9	8.8	9	7	8.7	8.5	8.5	7	8	6	88.4
Ethiopia	Ethiopia Gr. 3 Dry Process Yirga Cheffe	9.4	9.2	8.6	9.5	8.3	9.4	8.5	7	8.5	7	5	90.4
Ethiopia	Ethiopia FTO Wet Process Uraga Layo Teraga	9	9	8.7	9	8	9	8.5	9	7.5	8.5	4	90.2
Ethiopia	Ethiopia Harar Organic Dry Process Biftu Genema	9	8.8	8.5	9	8.8	9.2	8.4	7	9	7	5	89.7
Ethiopia	Ethiopia Dry Process Weshi Jimma	9.2	9.2	8.6	9.2	7.5	8	8.8	8	8.5	7	5	90
Ethiopia	Ethiopia Wet Process Guji Oromo	9.2	9.3	8.9	9.3	7	9.5	8	8.5	8.5	8	5	91.2
Ethiopia	Ethiopia Yirga Cheffe Kochere	8.9	8.8	8.9	9	7	9	8.5	9	7.5	8.5	5	90.1
Ethiopia	Ethiopia Organic Shakiso Wet Process	8.8	8.7	8.6	9	8.4	9	9	9	8	8	3	89.5
Ethiopia	Ethiopia Organic Shakiso Sidamo "Maduro"	9	8.7	8.5	9.2	8.8	9.3	8	6.5	9	7.5	7	91.5
Ethiopia	Ethiopia FTO Shoye Sidamo WP Decaf	8.6	8.3	8.6	8.8	8.5	8.6	9.5	6.5	8.5	8	5	88.9
Ethiopia	Ethiopia FTO DP Sidamo Shoye Union	9.4	9.2	8.8	9.3	9	9.3	9.5	6.5	8.5	6	5	90.5
Ethiopia	Ethiopia Organic Yirga Cheffe, Koke Coop	8.8	9	9	9.4	8.2	9.4	9.5	8.5	8.5	8	4	92.3
Ethiopia	Ethiopia Dry-Process Sidamo MC Decaf	8.2	8.4	8.5	8.4	8.5	8.6	8.2	8	7	7.5	5	86.3
Ethiopia	Ethiopia FTO Oromia Yirga Cheffe	8.8	9	8.8	9	8	8.9	9	8.5	8	8	4	90
Ethiopia	Ethiopia DP Haile Selassie Sidamo	9.4	9.2	8.7	9.3	8.7	9.3	9.5	7	8.3	7	6	92.4
Ethiopia	Ethiopia Organic Dry Process Guji Sidamo	9	8.7	8.4	9.2	9	8.8	8	6.5	8.5	5.5	7	88.6
Ethiopia	Ethiopia Organic Guji Sidamo SWP Decaf	8.5	8.6	8.7	8.6	8.8	8.5	8.4	8.5	7	9	3	87.6
Ethiopia	Ethiopia Gr.3 Dry Process Yirga Cheffe	9.5	9.3	8.7	9.6	8.3	9.4	8.5	7.5	9	7.5	5	92.3
Ethiopia	Ethiopia Moplaco Yirga Cheffe	8.8	9.5	8.9	9.4	8.6	8.7	9	9	8.3	8	4	92.2
Ethiopia	Ethiopia Dry-Process Sidamo MC Decaf	8.2	8.4	8.5	8.4	8.5	8.6	8.2	8	7	7.5	5	86.3
Ethiopia	Ethiopia Mullege Yirga Cheffe	8.7	8.7	8.8	8.7	8.6	8.7	8.5	9	7.5	8	2	87.2
Ethiopia	Ethiopia Dry-Process Sidamo WP Decaf	8	8.4	8.5	8.3	8.7	8.6	8	8	6.5	7.5	6	86.5
Ethiopia	Ethiopia Wet-Process Bonko	9	8.7	9.5	9	6.5	9	9	10	7	9	5	91.7
Ethiopia	Ethiopia Organic Dry-Process Birbissa	8.5	9	7.5	9	9	8.4	7.5	5.5	9	6	7	86.4
Ethiopia	Ethiopia Organic Kemala "Korito Koran"	8.5	8.2	6.5	8.7	9.5	8.8	8.5	6	8.5	6.5	7.5	87.2
Ethiopia	Ethiopia Organic Natural Djimma WP Decaf	8	8.3	8	8.3	6.5	8.3	8	7	7	7.5	8	84.9
Ethiopia	Ethiopia Organic DP Bonko "Black Sun"	8.6	8.8	8.6	9.2	8.5	9.3	9	6	9	7	8	92
Ethiopia	Ethiopia Organic Wet-Process Kebado	9	9	8.8	9.5	6.5	9.6	9	8	8	8	7	92.4
Ethiopia	Ethiopia Organic DP Idido Misty Valley	8.6	9	8.6	9.2	7.4	8.8	8	7.5	9	7.8	6	89.9
Ethiopia	Ethiopia Kembata Grade 4 Dry-Process	8.3	8.6	9	8.7	8.6	8.8	8.5	6.5	8.5	6	7.5	89
Flores	Indonesia Flores Organic Manggarai	8.2	8.3	7.8	8.6	8.9	8.7	8	7	7.4	7	7	86.9
Guatemala	Guatemala Antigua Red Bourbon	8.5	8.6	8.7	8.8	8	8.8	8.5	9	7.5	9	3	88.4
Guatemala	Guatemala Antigua -Finca Retana Yellow Bourbon	8	8.4	8.5	8.8	7.5	8.9	8	8	6	8	7.2	87.3
Guatemala	Guatemala Finca La Esmeralda Yellow Bourbon READY	8.6	8.8	8.7	8.5	8	8.4	8	9	7	8	5	88
Guatemala	Guatemala Finca La Florencia	8.4	8.5	8.6	8.7	8.6	8.5	7.8	8.5	7.5	8.5	4	87.6
Guatemala	Guatemala Bourbon -Finca San Diego Buena Vista	8.4	8.5	8.6	8.6	9	8.5	7.7	8.5	7.6	8.5	3	86.9
Guatemala	Guatemala Antigua Finca Cabrejo	8.5	8.7	8.6	8.9	7.8	9	8.5	9	7.5	8	4	88.5
Guatemala	Guatemala Acatenango Gesha 2011	9.2	9.4	9	9.5	7.5	9.5	9	8.7	8.6	8	5	93.4
Guatemala	Guatemala San Juan Sacatepequez - Villa Lupe	8.3	8.4	8.6	8.7	7.5	8.6	8	8.5	7	8	6	87.6
Guatemala	Guatemala Antigua Hacienda Carmona Pulcal	8.4	8.4	8.5	8.8	7.5	8.9	7.9	9	7	8.5	4	86.9
Guatemala	Guatemala San Juan Pixcaya SWP Decaf	7.8	8	8.5	8.6	7	8.5	8.3	8.3	7	9	5	86
Guatemala	Guatemala Huehuetenango -Finca La Providencia Dos	8.5	8.3	8.7	8.5	8.6	8.6	8.4	7.8	7.5	8	4	86.9
Guatemala	Guatemala Ojercaibal	8	8.5	8.8	8.3	8	8.5	8.5	9	7	8.5	4	87.1
Guatemala	Guatemala Antigua Hacienda Carmona Pulcal	8	8.4	8.5	8.8	7.5	8.9	8	9	7	9	4	87.1
Guatemala	Guatemala San Juan Sacatepequez - Villa Lupe	8	8.4	8.5	8.8	7.5	8.8	8	8	7	8	6	87
Guatemala	Guatemala Antigua Finca La Folie	8.5	8.4	8.5	8.9	8	9	8.5	9	7	8	5	88.8
Guatemala	Guatemala Finca La Maravilla SWP Decaf	8.5	8.5	8.6	8.4	7	8.7	8.5	8	7.5	8	6	87.7
Guatemala	Guatemala Finca La Florencia Bourbon 2010	8.5	8.6	8.6	8.8	8.6	8.7	8	8	8	8	5	88.8
Guatemala	Guatemala Acatenango Gesha	9	9	9	9.5	7	9.5	8	8.5	8.5	8.5	5	91.5
Guatemala	Guatemala Bourbon -Finca San Diego Buena Vista	8.6	8.5	8.7	8.7	9	8.5	7.7	9	7.7	8.5	3	87.9
Guatemala	Guatemala Acatenenango -Finca La Soledad	8.5	8.5	8.7	8.6	8.6	8.7	8	9	7	9	3	87.6
Guatemala	Guatemala Finca La Bella JBM Cultivar	8.4	8.6	8.2	8.6	8.5	8.4	7.5	8	7	9	5	87.2
Guatemala	Guatemala Antigua Puerta Verde Bourbon	8	8.4	8.5	8.8	7.5	8.9	8	8	6	8	7.2	87.3
Guatemala	Guatemala Huehuetenango Finca La Maravilla 2010	8.6	8.8	8.9	8.5	7	8.7	8.5	7.5	8	8	5	87.5
Guatemala	Guatemala Huehuetenango La Esperanza Pacamara	9	8.8	8.8	8.8	8.5	8.5	8	7.5	9	8	5	89.9
Guatemala	Guatemala Finca La Florencia Caturra	8.6	8.6	8.7	8.5	7.5	8.4	8	8.5	7.5	8	5	87.3
Guatemala	Guatemala Fraijanes - Finca Agua Tibia	8.3	8.2	8.5	8.5	8	8.5	7.8	8.5	7	8.5	5	86.8
Guatemala	Guatemala Finca La Florencia 100% Bourbon 2009	8.4	8.6	8.5	8.5	8.8	8.6	7.5	8	8	8	5	87.9
Guatemala	Guatemala Bourbon -Finca San Diego Buena Vista	8.6	8.4	8.7	8.7	8.8	8.5	8	9	8	8.5	3	88.2
Guatemala	Guatemala Acatenenango -Finca La Soledad	8.5	8.5	8.7	8.7	8.6	8.7	8	9	8	9	3	88.7
Guatemala	Guatemala Palo Blanco WP Decaf	8	8.3	8.6	8.5	7	8.3	7	8	7	8	7	85.7
Guatemala	Guatemala La Maravilla SWP Decaf	8.5	8.5	8.6	8.4	7	8.7	8.5	8	7.5	8	6	87.7
Guatemala	Guatemala Antigua Puerta Verde Bourbon	7.5	8	8.5	8.8	7.5	8.9	8	8	6	8	7.2	86.4
Guatemala	Guatemala Finca San José Ocańa	8.5	8.6	8.8	8.8	8.2	8.8	8	8.5	8	9	4	89.2
Guatemala	Guatemala Huehuetenango Finca La Maravilla 2009	8.5	8.7	8.8	8.4	7	8.7	8.5	8	7.5	8	6	88.1
Guatemala	Guatemala Finca La Bella JBM Cultivar	8.3	8.2	8.7	8.6	8	8.5	8	8.3	6.5	9	6	88.1
Guatemala	Guatemala Acatenango Gesha	9.2	9	9.4	9.5	7	9.5	8.5	9	8.5	9	5	93.6
Guatemala	Guatemala Fraijanes - Finca Agua Tibia	8.3	8.2	8.7	8.6	8	8.5	8	8.3	6.5	9	6	88.1
Guatemala	Guatemala Antigua Los Pastores Peaberry	7.5	8	8.5	8.8	7.5	8.9	8	8	6	8	7.2	86.4
Guatemala	Guatemala El Injerto Estate 100% Bourbon	8	8.5	8.5	8.8	8.5	8.5	8	9	8	9	5	89.9
Guatemala	Guatemala Organic Finca Ceylan Maragogype	8	8.2	8.4	8.7	8	8.8	7	7	8	8	7	87.1
Guatemala	Guatemala San Jose Pinula -La Trinidad	8.5	8	8.6	8.8	8.9	8.9	5	9	7	9	6	87.7
Guatemala	Guatemala Huehuetenango "Quetzal Azul"	8.3	8.6	9	8.9	8	9.2	8	8	8.5	8	5	89.5
Guatemala	Guatemala Cup of Excellence #1 -El Injerto	8.5	9	8.8	9	8.5	9	8	8	9	8	8	93.8
Guatemala	Guatemala Oriente Dry-Process	8.4	8.4	7.5	8.8	9.5	8.6	5	5	9	6	8	84.2
Guatemala	Guatemala Huehuetenango WP Decaf	8	8.3	8.6	8.5	6	8.3	7	8	6	8	7	83.7
Hawaii	Hawaii Ka'anapali DP Maui Moka 16 Screen	8	8.6	7	8.6	9	8.5	8.5	7	6	8.5	7	86.7
Hawaii	Hawaii Kona -Kowali Farm JBM Cultivar	8.5	8.6	8.6	8.8	7	8.7	8.5	9	7	8.5	5	88.2
Hawaii	Hawaii Kona - Moki's Farm 	8.5	8.6	8.5	8.7	8	8.4	8.5	8.5	7	8.5	5	88.2
Hawaii	Hawaii Ka'u "Rusty's Hawaiian"	8.4	8.4	8.5	8.5	8	8.8	8	8	6.3	9	6	87.9
Hawaii	Hawaii Kona Maragogype	8.8	9	8	9.2	8.8	9	9.4	8	7.5	8	5	90.7
Hawaii	Hawaii Kona -Kowali Farm Typica	8.5	8.3	8.5	8.7	7	8.5	8.3	9	6.5	9	5	87.3
Hawaii	Hawaii Kona -Kowali Farm Typica -Dec 2010	8.5	8.3	8.5	8.8	7	8.5	9	9	6.5	9	6	89.1
Hawaii	Hawaii Kona -Kowali Farm Typica -May 2010	8.4	8.5	8.5	8.8	7	8.6	8.8	9	6	9	6	88.6
Hawaii	Hawaii Ka'anapali DP Maui Moka 16 Screen	8	8.6	7	8.6	9	8.5	8.5	7	6	8.5	7	86.7
Hawaii	Hawaii Kona - Moki's Farm 2010	8.4	8.6	8.5	8.8	8	8.5	8.5	8.5	7	8.5	5	88.3
Hawaii	Hawaii Ka'anapali DP Maui Moka 11 Screen	8	8.6	7	8.4	8.8	8.3	8	7	6	8.5	7	85.6
Hawaii	Hawaii Kona XF Greenwell Farms	8.4	8.5	8.4	8.5	8.5	8.4	8.5	8	7	9	4	87.2
Hawaii	Hawaii Ka'anapali Estate DP Maui Moka	8	8.6	7	8.4	8.8	8.3	8	7	6	8.5	7	85.6
Hawaii	Hawaii Kona -Kowali Farm JBM Cultivar 2009	8.7	8.7	8.6	9	7	8.8	8.7	9	7	8.5	5	89
Hawaii	Hawaii Kona -Kowali Farm Typica 2009	8.5	8.3	8.5	8.8	7	8.5	9	9	6.5	9	6	89.1
Hawaii	Hawaii Kona - Moki's Farm 2009	8.4	8.6	8.5	8.8	8	8.5	8.5	8.5	7	8.5	5	88.3
Hawaii	Hawaii Kona XF -Kowali Farm Typica	8	8.3	8.5	8.8	7	8.5	9	9	6.5	9	6	88.6
Hawaii	Hawaii Kona Lehuula Farm	8	8.3	8.5	8.7	8	8.5	7.5	8	6.5	8	7	87
Hawaii	Hawaii Ka'u - Will & Grace Farm	8	8.4	8.5	8.7	8	8.5	7.5	8	6.5	8	7	87.1
Honduras	Honduras Cup of Excellence -Finca Ovidio	8.8	8.9	8.7	9	8.3	9.2	8.5	8.5	8.8	8.5	3	90.2
Honduras	Honduras Ocotopeque WP Decaf	7.3	8	8.2	8.3	7.6	8	8.1	8.5	7	9	5	85
Honduras	Honduras Santa Barbara Smallholders	8.5	8.6	8.5	8.8	8.6	8.7	8.8	8	8	8	4	88.5
Honduras	Honduras Organic Marcala -Cocosam Coop	8.2	8	8.6	8.6	7.8	8.3	8	8	7.8	8	4	85.3
Honduras	Honduras Organic Marcala -Cocosam Coop 2010	8.2	8	8.6	8.4	7.8	8.5	8	8	7.8	9	4	86.3
Honduras	Honduras Cup of Excellence -Finca Fernandez	8.4	8.5	8.5	8.6	8	8.4	8.5	9	8	9	4	88.9
Honduras	Honduras Organic - Daniel Ordońez III Microlot	8.3	8.5	8.7	8.6	8	8.7	7.5	8.5	7	9	4	86.8
Honduras	Honduras FTO Ocotopeque WP Decaf	7.5	7.9	8.3	8.3	7.5	8	8.1	8.5	7	9	5	85.1
Honduras	Honduras FTO Lempira -Cosagual Coop	8	8.5	8.6	8.5	6.5	8.5	7.5	8	5.5	9	6.5	85.1
Honduras	Honduras FTO Marcala -Beneficio Santa Rosa	8	8.4	8.6	8.4	7	8.5	7	8.5	5	9	6.5	84.9
India	India Monsooned Malabar AA	5	5	6	7.5	9	7.8	5	5	8	9	8	75.3
India	India Sanskriti Arabica	7.5	8.2	7.3	8.5	8.8	8.4	7.5	7	7.5	8.5	5	84.2
India	India Sufia Robusta	6	5	6.5	7	8.8	7	6	7	7.5	8.5	5	74.3
India	India Organic Jasmine Estate Yellikudige	8	8	8.4	8.6	8.8	8.5	8	7	7	8	6	86.3
India	India Kattehollay Estate Peaberry	7.5	8	8.3	8.5	8.8	8.4	7	8	6.5	8.5	7	86.5
India	India Robusta - Jeelan Estate Nirali	6	6.5	5	5	9	5.5	4	6	6.5	9	5	67.5
India	India Mysore Nuggets Extra Bold	7.5	8	7	8.5	8.8	8.4	7	7	7.5	9	7	85.7
Java	Java Sunda Garut	7.8	8	8	8.4	8.5	8	8	7.5	8	8	6	86.2
Java	Java Merapi Robusta	7	6.5	6.4	7	9.5	7.5	4	6.5	8	7	6	75.4
Java	Java Kajumas Organic Taman Dadar	7.6	8	7	8.3	9.5	8.2	6.5	6.5	7.5	8	7	84.1
Java	Java Kajumas Organic Taman Dadar	7.6	8	7	8.3	9.5	8.2	6.5	6.5	7.5	8	7	84.1
Java	Java Kopi Sunda	7.8	8	7.7	8.3	8.5	8	7	7	8	8	7	85.3
Java	Java Kajumas Organic Wet-Hulled	7.8	8.3	6.5	8.4	9.7	8.4	6.5	6.5	7.5	8	7	84.6
Java	Java Kajumas Organic Taman Dadar	7.4	8	7	8.3	9.4	8	6	7	7	8	7.5	83.6
Java	Java Kajumas Curah Tatal	7	7.5	7.3	8.5	9.6	8	6	6.5	8	8	7	83.4
Kenya	Kenya Nyeri Tegu AB	8.6	8.7	8.8	8.8	8.5	8.7	9	8.3	8.7	8	3	89.1
Kenya	Kenya AB Ngunguru	9	9.2	9.4	9.2	9.3	9.2	9	9	8	10	1.7	93
Kenya	Kenya Nyeri Ngunguru	9.4	9.6	9.4	9.2	9.3	9.2	9	9	8.5	9	2	93.6
Kenya	Kenya Nyeri Hill Estate Peaberry	9.1	9.3	9.1	9.1	8.8	9.1	8.8	9	8	9	2	91.3
Kenya	Kenya Nyeri Peaberry - Kirimara Estate	8.8	8.9	9.1	9	8.4	9	8	8	8.4	8.5	4	90.1
Kenya	Kenya Nyeri Tegu June 2011	8.8	8.7	8.7	9	8.5	9.1	9.3	8.3	9.3	8	3	90.7
Kenya	Kenya Nyeri Kagumo-ini	8.8	9.2	9.1	9	8	9	9.2	9	8.5	9	3	91.8
Kenya	Kenya Murang'a AA Kangunu	9.1	9	9.3	9.1	8.8	9.2	8.5	8	9	8.5	4	92.5
Kenya	Kenya Kirinyaga AA Kiunyu	8.8	8.9	9.2	9.5	7.5	9	8.8	8.8	9	8	4	91.5
Kenya	Kenya Kirinyaga AA Kabingara	9	8.8	9.2	9.3	8.4	9	8.7	8.5	9.3	9	3	92.2
Kenya	Kenya Nyeri Tegu AB 2011	8.8	8.7	8.7	9	8.5	9.1	9.3	8.3	9.3	8	3	90.7
Kenya	Kenya Nyeri Ichamara Peaberry	9	9	9.5	9.5	8	9.3	9.4	9	9	9	4	94.7
Kenya	Kenya Kirinyaga Gachami Peaberry	8.8	9	9.2	9.1	8.5	9.1	9	7.5	9	8	4	91.2
Kenya	Kenya Kirinyaga AA Gakuyu-ini	9	8.8	9.2	9.2	8.5	9.2	8.5	9	8	9	3	91.4
Kenya	Kenya Kirinyaga Guama Peaberry	8.9	8.8	9.7	8.8	7.5	9	7.5	8	9	8	5	90.2
Kenya	Kenya Kirinyaga Karimikui Peaberry	8.8	9	9.2	9.5	8.5	9.3	9	7.5	9	8	4	91.8
Kenya	Kenya Nyeri Tegu AB Sept 2010	9	9	9	9.5	8	9.3	9.5	8	9	8	4	92.3
Kenya	Kenya Nyeri Tegu AB 2010	9	9	9.2	9.5	7	9.3	9	8	9	8	5	92
Kenya	Kenya Nyeri AA Gaturiri	8.9	9	8.8	9.2	8.8	9	9.2	8	8.6	8	5	92.5
Kenya	Kenya Kirinyaga Kiangoi Peaberry	8.9	9.3	9.1	9.3	7.5	9.1	8	9	8.4	9	3	90.6
Kenya	Kenya Kirinyaga Peaberry Gakuyu-ini	9.3	8.8	9.3	9.3	8	9.1	8.5	7.5	8.6	8	5	91.4
Kenya	Kenya AA Kainamui Kirinyaga	9	9	9.8	9.4	8.5	9.2	9.5	8	8.5	9	4	93.9
